@RELATION RegData_RAM

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE RAMUsage numeric

@DATA
100,2,108,5,1.3
1373,3,1538,2,5.3
920,1,984,3,5.3
2390,2,2557,1,5.3
1079,3,1122,4,5.3
121,4,126,1,2.7
1870,1,1907,2,5.3
100,4,111,2,1.3
483,2,507,3,4
1290,2,1445,2,5.3
546,5,551,1,4
130,1,139,2,2.7
758,5,841,3,4
334,5,341,5,2.7
198,3,208,2,2.7
334,3,377,3,2.7
716,3,823,5,4
445,4,472,2,4
240,5,266,1,2.7
203,1,205,2,2.7
5073,1,5580,1,5.3
112,1,116,3,2.7
1787,3,1876,4,5.3
610,1,683,5,4
102,2,113,1,1.3
101,5,106,3,1.3
637,5,675,2,4
615,4,689,4,4
121,1,129,2,2.7
310,3,338,1,2.7
620,4,682,4,4
106,4,121,4,1.3
102,2,116,1,1.3
476,1,481,2,4
605,5,647,3,4
105,5,118,4,1.3
222,4,226,4,2.7
881,4,987,3,4
193,2,205,1,2.7
610,4,647,3,4
203,5,219,1,2.7
110,4,116,4,1.3
173,5,190,1,2.7
192,1,202,4,2.7
902,3,929,2,5.3
743,1,832,3,4
250,4,260,5,2.7
700,4,784,2,4
180,2,182,5,2.7
101,2,110,3,1.3
300,2,318,5,2.7
192,4,207,1,2.7
263,4,274,1,2.7
100,2,107,4,1.3
202,1,222,1,2.7
180,5,187,5,2.7
223,1,256,1,2.7
314,1,336,1,2.7
1328,1,1487,3,5.3
2562,1,2588,1,5.3
1918,2,2014,3,5.3
1400,2,1484,3,5.3
1609,1,1722,2,5.3
1154,5,1258,4,5.3
1601,5,1745,3,5.3
867,2,919,2,4
430,4,482,2,4
1950,4,2204,4,5.3
1049,5,1185,2,5.3
1203,2,1335,2,5.3
4035,3,4075,4,5.3
1870,3,2076,2,5.3
1050,2,1134,2,5.3
950,1,1017,2,5.3
1267,1,1305,4,5.3
1773,3,1897,1,5.3
117,1,124,2,2.7
1574,1,1605,4,5.3
565,2,576,5,4
124,1,140,3,2.7
1333,4,1453,3,5.3
1880,3,2012,1,5.3
585,3,655,2,4
2499,2,2799,3,5.3
132,3,140,3,2.7
4158,5,4200,3,5.3
2049,1,2192,4,5.3
2353,5,2612,4,5.3
101,4,107,1,1.3
1647,5,1779,4,5.3
447,1,496,1,4
220,4,227,5,2.7
100,4,114,4,1.3
103,1,107,5,1.3
2916,5,2974,5,5.3
101,4,110,4,1.3
1009,2,1059,4,5.3
216,1,222,5,2.7
800,5,840,3,4
219,4,243,5,2.7
2792,2,2932,3,5.3
556,4,562,2,4
797,5,837,3,4
101,5,112,2,1.3
162,2,177,2,2.7
330,1,347,3,2.7
350,3,375,4,2.7
111,1,122,2,2.7
101,1,104,3,1.3
182,5,195,5,2.7
413,4,471,1,4
563,1,602,5,4
292,4,307,4,2.7
382,3,424,4,4
322,2,328,1,2.7
391,3,403,4,4
440,3,484,2,4
302,2,320,3,2.7
500,2,530,1,4
390,5,449,3,4
501,5,566,3,4
280,5,311,4,2.7
4240,5,4791,4,5.3
325,4,341,2,2.7
549,4,626,5,4
497,1,572,1,4
555,3,588,1,4
740,4,821,4,4
200,4,228,1,2.7
366,3,384,5,2.7
180,1,187,2,2.7
622,1,659,5,4
111,5,119,5,2.7
300,5,336,1,2.7
450,2,473,1,4
688,5,716,3,4
108,1,113,5,1.3
106,4,112,4,1.3
547,2,629,5,4
200,4,224,1,2.7
100,3,108,3,1.3
458,5,504,4,4
101,3,114,2,1.3
1204,5,1348,2,5.3
364,5,397,5,2.7
1150,5,1162,4,5.3
100,5,105,3,1.3
437,4,450,1,4
270,2,284,1,2.7
681,4,735,1,4
895,1,985,4,4
251,4,266,4,2.7
120,3,132,3,2.7
670,4,717,4,4
1020,1,1163,4,5.3
100,1,113,1,1.3
714,5,785,3,4
292,3,301,5,2.7
600,2,636,3,4
533,2,597,5,4
291,3,335,2,2.7
100,2,106,1,1.3
250,5,285,5,2.7
900,5,936,5,4
100,2,106,2,1.3
402,5,430,5,4
101,1,114,2,1.3
420,3,479,1,4
740,3,807,3,4
312,4,340,5,2.7
100,1,102,4,1.3
755,4,770,2,4
785,5,801,4,4
100,1,110,3,1.3
100,2,103,2,1.3
393,3,440,4,4
290,3,310,3,2.7
513,3,518,1,4
826,5,925,1,4
1147,3,1285,1,5.3
490,3,544,1,4
534,1,571,4,4
794,1,810,2,4
553,2,603,4,4
370,3,377,3,2.7
344,3,358,4,2.7
630,2,643,2,4
1724,2,1845,2,5.3
395,3,419,2,4
275,3,292,4,2.7
1065,3,1097,4,5.3
655,5,740,1,4
234,5,262,5,2.7
487,5,560,5,4
398,5,438,3,4
183,3,185,4,2.7
114,5,124,1,2.7
496,1,506,4,4
395,5,423,3,4
210,3,216,3,2.7
100,1,103,3,1.3
404,3,424,5,4
387,3,430,4,4
324,4,363,4,2.7
210,3,221,1,2.7
498,2,543,4,4
1262,3,1363,3,5.3
870,5,983,4,4
103,2,110,5,1.3
294,5,335,4,2.7
577,3,652,1,4
671,5,678,3,4
480,2,494,3,4
302,2,347,4,2.7
100,2,103,2,1.3
100,5,109,5,1.3
619,2,662,5,4
390,5,437,1,4
717,4,782,2,4
330,3,356,4,2.7
275,5,316,1,2.7
490,5,500,2,4
360,3,407,4,2.7
976,2,1113,2,5.3
412,5,416,4,4
684,2,780,5,4
533,1,592,4,4
854,3,922,3,4
271,5,287,2,2.7
322,5,332,2,2.7
292,4,315,2,2.7
100,4,102,1,1.3
130,2,142,5,2.7
950,3,960,4,5.3
1590,3,1749,5,5.3
193,2,218,2,2.7
750,3,803,3,4
690,4,752,4,4
100,3,112,5,1.3
1380,4,1504,2,5.3
100,3,106,2,1.3
750,3,833,3,4
552,4,591,2,4
71416,4,78558,3,6.7
102,2,110,2,1.3
210,4,223,3,2.7
1077,1,1088,4,5.3
292,4,304,1,2.7
410,2,443,3,4
1070,3,1081,5,5.3
181,4,199,5,2.7
300,3,324,3,2.7
292,3,304,4,2.7
382,4,420,3,4
1108,5,1174,5,5.3
1590,3,1797,5,5.3
830,1,872,1,4
120,1,131,4,2.7
640,1,685,5,4
2173,1,2238,2,5.3
100,3,103,4,1.3
310,5,326,3,2.7
220,1,238,3,2.7
250,5,265,2,2.7
271,4,274,4,2.7
447,5,492,3,4
568,2,602,4,4
376,1,421,4,2.7
408,5,424,2,4
653,1,673,1,4
361,3,386,1,2.7
420,5,475,3,4
172,3,186,3,2.7
525,4,583,1,4
1570,1,1696,5,5.3
300,1,303,2,2.7
111,4,122,1,2.7
683,2,751,5,4
330,1,343,5,2.7
444,2,462,2,4
400,1,452,3,4
183,4,199,2,2.7
324,5,373,5,2.7
473,1,516,3,4
380,4,388,2,4
479,1,513,1,4
163,3,173,3,2.7
103,2,109,4,1.3
380,4,410,5,4
104,2,109,5,1.3
681,2,708,2,4
165,2,167,3,2.7
388,3,400,1,4
106,3,121,2,1.3
746,4,798,2,4
100,5,102,4,1.3
1043,2,1106,1,5.3
346,4,353,3,2.7
487,1,560,4,4
437,5,468,5,4
101,1,110,1,1.3
191,1,214,3,2.7
500,5,565,1,4
100,3,114,2,1.3
241,4,248,3,2.7
650,4,741,5,4
453,3,489,2,4
397,2,405,5,4
1560,2,1654,3,5.3
422,4,435,5,4
1660,3,1876,4,5.3
213,1,222,2,2.7
855,4,923,5,4
101,1,110,2,1.3
691,1,698,4,4
440,1,458,1,4
450,1,491,5,4
200,3,208,4,2.7
181,1,194,1,2.7
865,2,977,2,4
271,5,309,4,2.7
13843358,2,14397092,1,8
353,3,381,1,2.7
460,5,529,3,4
22201376,2,25531582,5,8
760,1,790,2,4
553,1,575,2,4
720,5,785,4,4
655,3,721,5,4
1290,5,1316,5,5.3
835,1,852,3,4
1080,5,1123,3,5.3
614,3,700,2,4
470,1,531,4,4
1742,2,1864,4,5.3
296,5,332,1,2.7
1347,2,1495,4,5.3
255,5,293,2,2.7
730,4,788,5,4
111,3,128,3,2.7
1000,3,1150,1,5.3
1036,1,1098,3,5.3
1048,2,1174,5,5.3
100,2,111,5,1.3
100,3,115,2,1.3
957,5,1101,5,5.3
315,4,334,3,2.7
100,1,112,4,1.3
795,5,890,3,4
132,1,144,3,2.7
1490,1,1579,1,5.3
280,4,286,5,2.7
1138,4,1286,1,5.3
102,5,108,5,1.3
880,1,1003,5,4
10725436,3,12334251,5,8
2632,5,2843,2,5.3
2153,1,2282,1,5.3
13509481,1,15400808,1,8
10888603,4,11541919,1,8
1328,1,1514,5,5.3
13643950,4,15281224,4,8
9913242,5,10408904,5,8
12730420,1,13239637,2,8
15741970,5,16214229,3,8
14617491,3,15786890,4,8
13467071,1,14005754,4,8
14667690,3,15547751,2,8
23469400,4,24642870,1,8
20391591,5,23042498,5,8
1710,3,1967,4,5.3
16083090,3,17691399,2,8
10830110,4,11371616,2,8
16732891,2,17402207,3,8
25473700,1,27256859,2,8
16126000,5,16287260,1,8
24287051,4,27687238,1,8
14900071,4,15794075,4,8
13647230,3,15557842,5,8
18489820,5,19784107,5,8
12409271,5,13029735,2,8
13602770,1,14282909,4,8
16629890,4,16796189,4,8
15521881,2,16608413,1,8
17469920,5,19741010,1,8
14620670,1,14766877,4,8
1483,1,1572,1,5.3
11524293,4,11754779,4,8
13441560,3,13710391,3,8
1879,2,2104,4,5.3
18837140,3,21285968,5,8
740,1,784,5,4
690,5,718,3,4
530,2,594,2,4
21387291,2,23098274,3,8
654,4,661,1,4
673,4,727,5,4
21012950,2,22693986,4,8
763,3,786,1,4
340,5,388,4,2.7
584,2,631,5,4
980,1,1117,1,5.3
508,3,513,5,4
320,5,323,1,2.7
835,2,852,1,4
854,2,922,1,4
332,3,355,3,2.7
100,1,111,2,1.3
620,5,663,5,4
935,1,1019,1,5.3
517,4,595,1,4
351,3,393,2,2.7
1419,2,1575,2,5.3
1050,1,1208,5,5.3
1871,1,1890,3,5.3
100,2,113,1,1.3
560,4,616,5,4
563,2,591,5,4
1524,2,1737,5,5.3
700,2,798,3,4
503,1,528,1,4
100,2,104,4,1.3
101,4,106,2,1.3
1080,1,1199,3,5.3
19136002,5,20858242,2,8
636,2,681,1,4
12956040,5,13344721,4,8
743,3,802,4,4
16742080,5,18248867,2,8
10803330,5,11451530,3,8
11772290,5,13184965,5,8
13472990,5,15224479,1,8
16241001,4,17215461,1,8
21473020,5,21687750,4,8
10256541,3,11282195,5,8
10252000,1,10559560,1,8
14542970,1,14688400,5,8
12767831,5,13661579,5,8
16431420,1,17417305,1,8
14917540,2,15215891,1,8
12549660,3,13804626,5,8
4785,3,5168,4,5.3
13442491,2,13711341,4,8
896,4,1030,4,4
13778050,4,15706977,3,8
20892700,2,22773043,1,8
15613570,2,16394249,3,8
20641600,2,20848016,1,8
16112580,3,18368341,2,8
14225310,5,15932347,4,8
1155,4,1178,4,5.3
1336,3,1496,5,5.3
1681,5,1832,4,5.3
2400,2,2544,2,5.3
2373,1,2634,1,5.3
1448,1,1636,1,5.3
2759,4,2869,3,5.3
1917,3,2147,1,5.3
1342,5,1516,5,5.3
1312,3,1509,3,5.3
3174,3,3301,5,5.3
1240,2,1277,3,5.3
5496,2,5936,4,5.3
1096,3,1249,3,5.3
1113,3,1224,1,5.3
2678,2,2839,4,5.3
2159,4,2396,3,5.3
2070,1,2091,4,5.3
1447,5,1534,5,5.3
217,2,234,4,2.7
4383,4,4865,3,5.3
100,4,103,4,1.3
1459,5,1678,4,5.3
926,4,954,1,5.3
2797,4,3077,2,5.3
3964,5,4241,4,5.3
112,5,116,2,2.7
2532,1,2557,5,5.3
2553,4,2834,3,5.3
103,3,115,4,1.3
898,3,1024,3,4
1523,5,1614,4,5.3
2575,1,2678,2,5.3
121,2,134,4,2.7
3145,2,3334,5,5.3
19056513,4,19818774,2,8
16999541,3,19039486,2,8
18931521,2,20824673,2,8
11753861,5,13281863,2,8
16435710,2,17586210,4,8
26141802,1,28233146,1,8
11669471,4,11786166,2,8
18535190,5,19647301,4,8
14082080,5,15067826,5,8
12139160,2,13595859,2,8
13091810,3,13615482,1,8
15170370,4,15928889,1,8
9806890,1,10003028,3,8
14996716,5,16646355,3,8
15282245,2,16046357,1,8
13675983,2,14359782,5,8
15662740,2,16759132,5,8
13962650,3,15358915,2,8
18563061,1,20976259,4,8
15479100,1,16872219,5,8
19398010,2,20755871,4,8
16536990,5,16867730,2,8
14635290,2,15806113,1,8
613,3,625,3,4
750,5,840,2,4
15404771,3,16637153,2,8
480,4,528,4,4
543,3,603,1,4
295,1,330,5,2.7
559,1,615,1,4
9607100,1,10952094,4,8
564,2,637,2,4
151,4,157,3,2.7
423,2,461,4,4
292,4,324,2,2.7
624,5,674,3,4
292,3,315,4,2.7
673,5,754,5,4
590,5,679,5,4
783,2,861,4,4
684,5,759,5,4
1598,5,1838,3,5.3
453,5,498,1,4
100,4,113,5,1.3
664,3,724,4,4
103,1,113,1,1.3
1007,1,1118,5,5.3
372,1,383,4,2.7
673,5,680,4,4
103,2,111,1,1.3
2915,2,3294,2,5.3
100,4,113,1,1.3
906,5,1006,1,5.3
574,5,631,2,4
1319,4,1425,4,5.3
1120,5,1198,4,5.3
13674612,1,15178819,3,8
10402800,4,11963220,2,8
17722018,5,20025880,5,8
22269380,5,25164399,4,8
21913270,3,22132403,1,8
1711,2,1951,1,5.3
21470920,2,21900338,5,8
1036,1,1129,2,5.3
10952380,2,11061904,2,8
16428119,5,18728056,5,8
15781190,1,17359309,3,8
18157512,3,19428538,3,8
11623042,3,11855503,3,8
10642970,2,11600837,3,8
1050,4,1197,1,5.3
10297571,4,11842207,1,8
13028900,5,14331790,4,8
12754210,3,13774547,1,8
16492610,3,16822462,3,8
11951900,2,12190938,1,8
15064020,4,15817221,4,8
10628483,3,11478762,2,8
16953030,2,17631151,1,8
17220580,1,18253815,4,8
12022570,4,13104601,2,8
19826560,2,20223091,2,8
10957791,2,11724836,4,8
1935,1,2206,3,5.3
12476960,4,12726499,1,8
21916270,5,23450409,1,8
11710580,1,12881638,2,8
15851610,1,16168642,4,8
24554160,2,26272951,1,8
13988412,3,16086674,3,8
26944920,5,30717209,4,8
10375700,4,10998242,5,8
12041191,5,12402427,2,8
18613051,5,19729834,3,8
15468650,3,17170202,2,8
10700220,3,11663240,1,8
13115271,4,14689104,4,8
17342201,1,19249843,2,8
14804570,3,16433073,1,8
12808890,3,14217868,1,8
12951660,1,14894409,5,8
11154830,1,12270313,4,8
12959840,2,13737430,2,8
12304511,5,12550601,1,8
19072880,5,21933812,3,8
12296270,4,14017748,5,8
12866560,5,14410547,4,8
13920160,5,15590579,4,8
17572710,4,20032889,3,8
12807522,4,13704049,1,8
15665530,2,17545394,5,8
18637978,4,20129016,2,8
19134760,4,20474193,3,8
15561112,4,16961612,4,8
15201303,4,16721433,1,8
27406150,5,31517073,5,8
15593990,3,16841509,5,8
12916851,2,13046020,3,8
19401745,1,19595762,3,8
14048630,1,15032034,1,8
10564622,2,11938023,4,8
22720442,2,22947646,1,8
13527810,5,15151147,2,8
13227860,1,13360139,4,8
11292601,1,12986491,1,8
12156241,1,13493428,4,8
11477331,3,12165971,3,8
22995100,3,25064659,2,8
19642081,5,20034923,4,8
11236920,1,11349289,3,8
14888510,2,15484050,1,8
15488320,3,16727386,3,8
12816350,1,13329004,4,8
27775360,4,29164128,1,8
18143411,5,20502054,4,8
12265700,2,14105555,3,8
14582281,5,15165572,5,8
15426501,1,16506356,1,8
11092360,2,12201596,2,8
14114620,1,14820351,2,8
23472070,3,26992881,3,8
11081370,2,12300321,5,8
9814630,4,10010923,5,8
12172010,2,13754371,1,8
10989490,1,11209280,4,8
19674271,3,21248213,2,8
13790890,1,15583706,4,8
21221402,2,22919114,5,8
9795,4,10089,3,5.3
14207193,3,16338272,4,8
11656880,3,12472862,3,8
550,4,589,1,4
430,3,464,1,4
680,5,694,1,4
630,4,712,5,4
390,3,398,2,4
270,3,286,3,2.7
930,5,986,5,5.3
590,4,596,3,4
430,1,495,1,4
200,2,220,5,2.7
700,2,721,1,4
550,4,583,3,4
680,4,721,4,4
240,4,242,2,2.7
280,1,322,1,2.7
980,4,1019,4,5.3
310,3,335,3,2.7
470,1,479,1,4
600,3,630,4,4
100,4,102,3,1.3
570,4,638,2,4
100,4,101,3,1.3
440,4,506,3,4
380,2,418,4,4
1180,2,1298,1,5.3
870,5,922,1,4
100,4,109,1,1.3
640,4,646,4,4
900,4,981,1,4
100,4,110,3,1.3
270,4,300,2,2.7
410,4,467,5,4
720,2,727,2,4
100,5,111,3,1.3
1030,4,1051,5,5.3
12230771,2,12720002,3,8
10512010,2,12088812,5,8
15281730,4,15434547,4,8
13102880,5,14151110,4,8
20674880,4,23776112,2,8
19790440,3,21175771,2,8
22891830,5,24494258,1,8
11977310,4,13773907,2,8
14887280,4,15036153,4,8
13741920,2,14703854,5,8
13720142,5,14954955,1,8
22953671,1,23183208,1,8
19651664,4,21027280,2,8
15878532,5,16513673,5,8
12245062,1,13714469,4,8
13825752,2,13964010,5,8
18354890,4,18905537,3,8
16702803,5,18039027,1,8
11316236,3,12900509,1,8
15500801,5,17825921,5,8
11780422,5,12133835,3,8
16896123,5,19092619,4,8
26069770,5,26591165,1,8
17855255,2,18390913,1,8
11138732,2,12252605,2,8
11120682,3,12455164,5,8
19450511,5,21979077,4,8
21542883,5,23050885,2,8
13266630,2,13664629,1,8
12112783,5,12960678,1,8
9915457,4,10510384,1,8
24608081,3,24854162,4,8
15432069,4,15895031,5,8
17857,1,18571,1,5.3
14130432,2,15119562,3,8
17438025,4,19879349,5,8
11381,2,12974,4,5.3
20640,3,23530,4,5.3
594,5,618,2,4
664,2,764,1,4
1145,4,1179,3,5.3
1145,2,1191,2,5.3
513,1,575,1,4
543,1,624,2,4
826,4,900,1,4
987,4,1115,5,5.3
1135,3,1203,3,5.3
623,5,635,5,4
997,5,1017,2,5.3
563,1,614,4,4
1803,1,2055,5,5.3
514,5,535,5,4
442,5,495,4,4
1125,5,1271,2,5.3
533,1,565,5,4
1237,4,1373,4,5.3
968,5,1016,4,5.3
120,5,128,5,2.7
1368,4,1573,1,5.3
100,3,111,1,1.3
786,5,888,1,4
1077,1,1206,3,5.3
1683,1,1733,4,5.3
1430,4,1587,4,5.3
100,1,111,5,1.3
1468,1,1571,5,5.3
1550,5,1767,5,5.3
100,1,112,1,1.3
583,2,647,1,4
1227,4,1399,3,5.3
1007,4,1027,5,5.3
102,5,114,3,1.3
1266,1,1456,5,5.3
18283,3,18466,1,5.3
14470274,4,15483193,5,8
20962960,3,21591849,4,8
20649510,3,20856005,5,8
18008971,4,19089509,2,8
14054293,1,16021894,3,8
17063141,1,18598824,3,8
13323900,2,14389812,4,8
22029391,3,25113506,3,8
18338540,5,19805623,3,8
12005751,1,12846154,5,8
17714241,3,17891383,2,8
9989361,4,10488829,1,8
17863430,2,20542945,5,8
18697320,2,21314945,2,8
21396580,4,23750204,4,8
12217603,1,13928067,5,8
22314970,1,25439066,5,8
12320191,5,12566595,3,8
24935640,5,26431778,3,8
14619570,3,16081527,1,8
13126360,5,13913942,2,8
10646190,4,11391423,1,8
16511180,4,16676292,1,8
16438060,3,16602441,1,8
13639780,2,15412951,2,8
16954363,5,17971625,5,8
13054281,1,14620795,2,8
12574040,3,14334406,2,8
27093351,2,30615487,2,8
15630020,2,15786320,5,8
16780661,3,17787501,1,8
16453210,3,17769467,3,8
17543850,1,18947358,3,8
13865220,2,14419829,5,8
13639190,1,14457541,5,8
22040,4,22922,2,5.3
14377741,2,14665296,4,8
17396390,2,17918282,3,8
20366902,3,21792585,5,8
25622430,4,27672224,2,8
22155,4,24371,5,5.3
160876,3,178572,1,6.7
210,3,233,1,2.7
6039812,3,6160608,3,8

