@RELATION RegData_CPU

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE CPUUsage numeric

@DATA
108,1,121,3,2
952,2,1095,4,8
2470,1,2692,1,8
409,4,450,3,6
732,4,820,3,6
477,4,491,2,6
239,3,253,1,4
298,3,310,2,4
300,4,321,2,4
227,4,252,5,4
341,5,385,4,4
199,3,219,3,4
1940,3,2173,2,8
1390,2,1487,1,8
1774,1,2022,3,8
1930,1,1988,1,8
2207,5,2494,2,8
2606,3,2841,1,8
1250,1,1325,5,8
1745,5,1954,4,8
1721,1,1841,2,8
1810,1,1937,5,8
2083,5,2187,2,8
980,3,1117,5,8
1167,2,1179,1,8
1466,2,1525,3,8
1133,5,1269,1,8
745,2,752,4,6
3040,5,3162,1,8
160,2,181,4,4
3124,1,3311,4,8
1776,2,1936,1,8
106,1,114,4,2
1456,5,1572,3,8
646,2,691,2,6
104,2,114,4,2
4070,2,4436,5,8
240,4,259,3,4
4503,4,4638,4,8
2210,4,2431,1,8
493,1,537,5,6
3189,2,3317,4,8
990,1,1030,5,8
1360,5,1387,3,8
100,3,107,3,2
3134,2,3353,4,8
318,3,356,3,4
345,1,362,5,4
114,1,116,5,4
304,3,313,5,4
101,1,104,5,2
315,5,337,3,4
243,5,270,3,4
100,5,114,2,2
386,4,428,4,6
2830,1,2858,4,8
344,4,365,2,4
130,4,138,5,4
100,3,106,3,2
102,1,109,3,2
250,2,283,5,4
274,1,304,4,4
103,1,105,1,2
495,4,554,2,6
100,5,105,2,2
290,3,307,4,4
1120,2,1277,2,8
631,1,707,4,6
100,3,102,3,2
416,4,458,1,6
104,4,110,5,2
4076,1,4239,5,8
100,4,111,3,2
291,3,320,4,4
218,3,227,5,4
255,5,275,1,4
314,5,345,4,4
710,1,731,5,6
386,3,421,3,6
3438,1,3644,4,8
659,4,758,4,6
1310,4,1428,5,8
2531,1,2911,1,8
1070,5,1177,4,8
2310,4,2518,4,8
1340,3,1407,5,8
1250,3,1275,2,8
1394,1,1603,5,8
870,4,931,1,6
1910,2,2120,5,8
730,3,832,5,6
1364,5,1555,4,8
1372,1,1482,3,8
333,2,353,4,4
899,2,980,3,6
1440,5,1555,4,8
630,3,662,4,6
1807,3,2078,4,8
100,4,104,5,2
1322,1,1428,2,8
2400,2,2448,5,8
590,4,602,4,6
2823,5,3021,2,8
2711,2,2901,3,8
2490,3,2689,4,8
100,2,108,5,2
1373,3,1538,2,8
920,1,984,3,8
2390,2,2557,1,8
1079,3,1122,4,8
121,4,126,1,4
1870,1,1907,2,8
100,4,111,2,2
483,2,507,3,6
1290,2,1445,2,8
546,5,551,1,6
130,1,139,2,4
758,5,841,3,6
334,5,341,5,4
198,3,208,2,4
334,3,377,3,4
716,3,823,5,6
445,4,472,2,6
240,5,266,1,4
203,1,205,2,4
5073,1,5580,1,8
112,1,116,3,4
1787,3,1876,4,8
610,1,683,5,6
102,2,113,1,2
101,5,106,3,2
637,5,675,2,6
615,4,689,4,6
121,1,129,2,4
310,3,338,1,4
620,4,682,4,6
106,4,121,4,2
102,2,116,1,2
476,1,481,2,6
605,5,647,3,6
105,5,118,4,2
222,4,226,4,4
881,4,987,3,6
193,2,205,1,4
610,4,647,3,6
203,5,219,1,4
110,4,116,4,2
173,5,190,1,4
192,1,202,4,4
902,3,929,2,8
743,1,832,3,6
250,4,260,5,4
700,4,784,2,6
180,2,182,5,4
101,2,110,3,2
300,2,318,5,4
192,4,207,1,4
263,4,274,1,4
100,2,107,4,2
202,1,222,1,4
180,5,187,5,4
223,1,256,1,4
314,1,336,1,4
1328,1,1487,3,8
2562,1,2588,1,8
1918,2,2014,3,8
1400,2,1484,3,8
1609,1,1722,2,8
1154,5,1258,4,8
1601,5,1745,3,8
867,2,919,2,6
430,4,482,2,6
1950,4,2204,4,8
1049,5,1185,2,8
1203,2,1335,2,8
4035,3,4075,4,8
1870,3,2076,2,8
1050,2,1134,2,8
950,1,1017,2,8
1267,1,1305,4,8
1773,3,1897,1,8
117,1,124,2,4
1574,1,1605,4,8
565,2,576,5,6
124,1,140,3,4
1333,4,1453,3,8
1880,3,2012,1,8
585,3,655,2,6
2499,2,2799,3,8
132,3,140,3,4
4158,5,4200,3,8
2049,1,2192,4,8
2353,5,2612,4,8
101,4,107,1,2
1647,5,1779,4,8
447,1,496,1,6
220,4,227,5,4
100,4,114,4,2
103,1,107,5,2
2916,5,2974,5,8
101,4,110,4,2
1009,2,1059,4,8
216,1,222,5,4
800,5,840,3,6
219,4,243,5,4
2792,2,2932,3,8
556,4,562,2,6
797,5,837,3,6
101,5,112,2,2
162,2,177,2,4
330,1,347,3,4
350,3,375,4,4
111,1,122,2,4
101,1,104,3,2
182,5,195,5,4
413,4,471,1,6
563,1,602,5,6
292,4,307,4,4
382,3,424,4,6
322,2,328,1,4
391,3,403,4,6
440,3,484,2,6
302,2,320,3,4
500,2,530,1,6
390,5,449,3,6
501,5,566,3,6
280,5,311,4,4
4240,5,4791,4,8
325,4,341,2,4
549,4,626,5,6
497,1,572,1,6
555,3,588,1,6
740,4,821,4,6
200,4,228,1,4
366,3,384,5,4
180,1,187,2,4
622,1,659,5,6
111,5,119,5,4
300,5,336,1,4
450,2,473,1,6
688,5,716,3,6
108,1,113,5,2
106,4,112,4,2
547,2,629,5,6
200,4,224,1,4
100,3,108,3,2
458,5,504,4,6
101,3,114,2,2
1204,5,1348,2,8
364,5,397,5,4
1150,5,1162,4,8
100,5,105,3,2
437,4,450,1,6
270,2,284,1,4
681,4,735,1,6
895,1,985,4,6
251,4,266,4,4
120,3,132,3,4
670,4,717,4,6
1020,1,1163,4,8
100,1,113,1,2
714,5,785,3,6
292,3,301,5,4
600,2,636,3,6
533,2,597,5,6
291,3,335,2,4
100,2,106,1,2
250,5,285,5,4
900,5,936,5,6
100,2,106,2,2
402,5,430,5,6
101,1,114,2,2
420,3,479,1,6
740,3,807,3,6
312,4,340,5,4
100,1,102,4,2
755,4,770,2,6
785,5,801,4,6
100,1,110,3,2
100,2,103,2,2
393,3,440,4,6
290,3,310,3,4
513,3,518,1,6
826,5,925,1,6
1147,3,1285,1,8
490,3,544,1,6
534,1,571,4,6
794,1,810,2,6
553,2,603,4,6
370,3,377,3,4
344,3,358,4,4
630,2,643,2,6
1724,2,1845,2,8
395,3,419,2,6
275,3,292,4,4
1065,3,1097,4,8
655,5,740,1,6
234,5,262,5,4
487,5,560,5,6
398,5,438,3,6
183,3,185,4,4
114,5,124,1,4
496,1,506,4,6
395,5,423,3,6
210,3,216,3,4
100,1,103,3,2
404,3,424,5,6
387,3,430,4,6
324,4,363,4,4
210,3,221,1,4
498,2,543,4,6
1262,3,1363,3,8
870,5,983,4,6
103,2,110,5,2
294,5,335,4,4
577,3,652,1,6
671,5,678,3,6
480,2,494,3,6
302,2,347,4,4
100,2,103,2,2
100,5,109,5,2
619,2,662,5,6
390,5,437,1,6
717,4,782,2,6
330,3,356,4,4
275,5,316,1,4
490,5,500,2,6
360,3,407,4,4
976,2,1113,2,8
412,5,416,4,6
684,2,780,5,6
533,1,592,4,6
854,3,922,3,6
271,5,287,2,4
322,5,332,2,4
292,4,315,2,4
100,4,102,1,2
130,2,142,5,4
950,3,960,4,8
1590,3,1749,5,8
193,2,218,2,4
750,3,803,3,6
690,4,752,4,6
100,3,112,5,2
1380,4,1504,2,8
100,3,106,2,2
750,3,833,3,6
552,4,591,2,6
71416,4,78558,3,10
102,2,110,2,2
210,4,223,3,4
1077,1,1088,4,8
292,4,304,1,4
410,2,443,3,6
1070,3,1081,5,8
181,4,199,5,4
300,3,324,3,4
292,3,304,4,4
382,4,420,3,6
1108,5,1174,5,8
1590,3,1797,5,8
830,1,872,1,6
120,1,131,4,4
640,1,685,5,6
2173,1,2238,2,8
100,3,103,4,2
310,5,326,3,4
220,1,238,3,4
250,5,265,2,4
271,4,274,4,4
447,5,492,3,6
568,2,602,4,6
376,1,421,4,4
408,5,424,2,6
653,1,673,1,6
361,3,386,1,4
420,5,475,3,6
172,3,186,3,4
525,4,583,1,6
1570,1,1696,5,8
300,1,303,2,4
111,4,122,1,4
683,2,751,5,6
330,1,343,5,4
444,2,462,2,6
400,1,452,3,6
183,4,199,2,4
324,5,373,5,4
473,1,516,3,6
380,4,388,2,6
479,1,513,1,6
163,3,173,3,4
103,2,109,4,2
380,4,410,5,6
104,2,109,5,2
681,2,708,2,6
165,2,167,3,4
388,3,400,1,6
106,3,121,2,2
746,4,798,2,6
100,5,102,4,2
1043,2,1106,1,8
346,4,353,3,4
487,1,560,4,6
437,5,468,5,6
101,1,110,1,2
191,1,214,3,4
500,5,565,1,6
100,3,114,2,2
241,4,248,3,4
650,4,741,5,6
453,3,489,2,6
397,2,405,5,6
1560,2,1654,3,8
422,4,435,5,6
1660,3,1876,4,8
213,1,222,2,4
855,4,923,5,6
101,1,110,2,2
691,1,698,4,6
440,1,458,1,6
450,1,491,5,6
200,3,208,4,4
181,1,194,1,4
865,2,977,2,6
271,5,309,4,4
13843358,2,14397092,1,12
353,3,381,1,4
460,5,529,3,6
22201376,2,25531582,5,12
760,1,790,2,6
553,1,575,2,6
720,5,785,4,6
655,3,721,5,6
1290,5,1316,5,8
835,1,852,3,6
1080,5,1123,3,8
614,3,700,2,6
470,1,531,4,6
1742,2,1864,4,8
296,5,332,1,4
1347,2,1495,4,8
255,5,293,2,4
730,4,788,5,6
111,3,128,3,4
1000,3,1150,1,8
1036,1,1098,3,8
1048,2,1174,5,8
100,2,111,5,2
100,3,115,2,2
957,5,1101,5,8
315,4,334,3,4
100,1,112,4,2
795,5,890,3,6
132,1,144,3,4
1490,1,1579,1,8
280,4,286,5,4
1138,4,1286,1,8
102,5,108,5,2
880,1,1003,5,6
10725436,3,12334251,5,12
2632,5,2843,2,8
2153,1,2282,1,8
13509481,1,15400808,1,12
10888603,4,11541919,1,12
1328,1,1514,5,8
13643950,4,15281224,4,12
9913242,5,10408904,5,12
12730420,1,13239637,2,12
15741970,5,16214229,3,12
14617491,3,15786890,4,12
13467071,1,14005754,4,12
14667690,3,15547751,2,12
23469400,4,24642870,1,12
20391591,5,23042498,5,12
1710,3,1967,4,8
16083090,3,17691399,2,12
10830110,4,11371616,2,12
16732891,2,17402207,3,12
25473700,1,27256859,2,12
16126000,5,16287260,1,12
24287051,4,27687238,1,12
14900071,4,15794075,4,12
13647230,3,15557842,5,12
18489820,5,19784107,5,12
12409271,5,13029735,2,12
13602770,1,14282909,4,12
16629890,4,16796189,4,12
15521881,2,16608413,1,12
17469920,5,19741010,1,12
14620670,1,14766877,4,12
1483,1,1572,1,8
11524293,4,11754779,4,12
13441560,3,13710391,3,12
1879,2,2104,4,8
18837140,3,21285968,5,12
740,1,784,5,6
690,5,718,3,6
530,2,594,2,6
21387291,2,23098274,3,12
654,4,661,1,6
673,4,727,5,6
21012950,2,22693986,4,12
763,3,786,1,6
340,5,388,4,4
584,2,631,5,6
980,1,1117,1,8
508,3,513,5,6
320,5,323,1,4
835,2,852,1,6
854,2,922,1,6
332,3,355,3,4
100,1,111,2,2
620,5,663,5,6
935,1,1019,1,8
517,4,595,1,6
351,3,393,2,4
1419,2,1575,2,8
1050,1,1208,5,8
1871,1,1890,3,8
100,2,113,1,2
560,4,616,5,6
563,2,591,5,6
1524,2,1737,5,8
700,2,798,3,6
503,1,528,1,6
100,2,104,4,2
101,4,106,2,2
1080,1,1199,3,8
19136002,5,20858242,2,12
636,2,681,1,6
12956040,5,13344721,4,12
743,3,802,4,6
16742080,5,18248867,2,12
10803330,5,11451530,3,12
11772290,5,13184965,5,12
13472990,5,15224479,1,12
16241001,4,17215461,1,12
21473020,5,21687750,4,12
10256541,3,11282195,5,12
10252000,1,10559560,1,12
14542970,1,14688400,5,12
12767831,5,13661579,5,12
16431420,1,17417305,1,12
14917540,2,15215891,1,12
12549660,3,13804626,5,12
4785,3,5168,4,8
13442491,2,13711341,4,12
896,4,1030,4,6
13778050,4,15706977,3,12
20892700,2,22773043,1,12
15613570,2,16394249,3,12
20641600,2,20848016,1,12
16112580,3,18368341,2,12
14225310,5,15932347,4,12
1155,4,1178,4,8
1336,3,1496,5,8
1681,5,1832,4,8
2400,2,2544,2,8
2373,1,2634,1,8
1448,1,1636,1,8
2759,4,2869,3,8
1917,3,2147,1,8
1342,5,1516,5,8
1312,3,1509,3,8
3174,3,3301,5,8
1240,2,1277,3,8
5496,2,5936,4,8
1096,3,1249,3,8
1113,3,1224,1,8
2678,2,2839,4,8
2159,4,2396,3,8
2070,1,2091,4,8
1447,5,1534,5,8
217,2,234,4,4
4383,4,4865,3,8
100,4,103,4,2
1459,5,1678,4,8
926,4,954,1,8
2797,4,3077,2,8
3964,5,4241,4,8
112,5,116,2,4
2532,1,2557,5,8
2553,4,2834,3,8
103,3,115,4,2
898,3,1024,3,6
1523,5,1614,4,8
2575,1,2678,2,8
121,2,134,4,4
3145,2,3334,5,8
19056513,4,19818774,2,12
16999541,3,19039486,2,12
18931521,2,20824673,2,12
11753861,5,13281863,2,12
16435710,2,17586210,4,12
26141802,1,28233146,1,12
11669471,4,11786166,2,12
18535190,5,19647301,4,12
14082080,5,15067826,5,12
12139160,2,13595859,2,12
13091810,3,13615482,1,12
15170370,4,15928889,1,12
9806890,1,10003028,3,12
14996716,5,16646355,3,12
15282245,2,16046357,1,12
13675983,2,14359782,5,12
15662740,2,16759132,5,12
13962650,3,15358915,2,12
18563061,1,20976259,4,12
15479100,1,16872219,5,12
19398010,2,20755871,4,12
16536990,5,16867730,2,12
14635290,2,15806113,1,12
613,3,625,3,6
750,5,840,2,6
15404771,3,16637153,2,12
480,4,528,4,6
543,3,603,1,6
295,1,330,5,4
559,1,615,1,6
9607100,1,10952094,4,12
564,2,637,2,6
151,4,157,3,4
423,2,461,4,6
292,4,324,2,4
624,5,674,3,6
292,3,315,4,4
673,5,754,5,6
590,5,679,5,6
783,2,861,4,6
684,5,759,5,6
1598,5,1838,3,8
453,5,498,1,6
100,4,113,5,2
664,3,724,4,6
103,1,113,1,2
1007,1,1118,5,8
372,1,383,4,4
673,5,680,4,6
103,2,111,1,2
2915,2,3294,2,8
100,4,113,1,2
906,5,1006,1,8
574,5,631,2,6
1319,4,1425,4,8
1120,5,1198,4,8
13674612,1,15178819,3,12
10402800,4,11963220,2,12
17722018,5,20025880,5,12
22269380,5,25164399,4,12
21913270,3,22132403,1,12
1711,2,1951,1,8
21470920,2,21900338,5,12
1036,1,1129,2,8
10952380,2,11061904,2,12
16428119,5,18728056,5,12
15781190,1,17359309,3,12
18157512,3,19428538,3,12
11623042,3,11855503,3,12
10642970,2,11600837,3,12
1050,4,1197,1,8
10297571,4,11842207,1,12
13028900,5,14331790,4,12
12754210,3,13774547,1,12
16492610,3,16822462,3,12
11951900,2,12190938,1,12
15064020,4,15817221,4,12
10628483,3,11478762,2,12
16953030,2,17631151,1,12
17220580,1,18253815,4,12
12022570,4,13104601,2,12
19826560,2,20223091,2,12
10957791,2,11724836,4,12
1935,1,2206,3,8
12476960,4,12726499,1,12
21916270,5,23450409,1,12
11710580,1,12881638,2,12
15851610,1,16168642,4,12
24554160,2,26272951,1,12
13988412,3,16086674,3,12
26944920,5,30717209,4,12
10375700,4,10998242,5,12
12041191,5,12402427,2,12
18613051,5,19729834,3,12
15468650,3,17170202,2,12
10700220,3,11663240,1,12
13115271,4,14689104,4,12
17342201,1,19249843,2,12
14804570,3,16433073,1,12
12808890,3,14217868,1,12
12951660,1,14894409,5,12
11154830,1,12270313,4,12
12959840,2,13737430,2,12
12304511,5,12550601,1,12
19072880,5,21933812,3,12
12296270,4,14017748,5,12
12866560,5,14410547,4,12
13920160,5,15590579,4,12
17572710,4,20032889,3,12
12807522,4,13704049,1,12
15665530,2,17545394,5,12
18637978,4,20129016,2,12
19134760,4,20474193,3,12
15561112,4,16961612,4,12
15201303,4,16721433,1,12
27406150,5,31517073,5,12
15593990,3,16841509,5,12
12916851,2,13046020,3,12
19401745,1,19595762,3,12
14048630,1,15032034,1,12
10564622,2,11938023,4,12
22720442,2,22947646,1,12
13527810,5,15151147,2,12
13227860,1,13360139,4,12
11292601,1,12986491,1,12
12156241,1,13493428,4,12
11477331,3,12165971,3,12
22995100,3,25064659,2,12
19642081,5,20034923,4,12
11236920,1,11349289,3,12
14888510,2,15484050,1,12
15488320,3,16727386,3,12
12816350,1,13329004,4,12
27775360,4,29164128,1,12
18143411,5,20502054,4,12
12265700,2,14105555,3,12
14582281,5,15165572,5,12
15426501,1,16506356,1,12
11092360,2,12201596,2,12
14114620,1,14820351,2,12
23472070,3,26992881,3,12
11081370,2,12300321,5,12
9814630,4,10010923,5,12
12172010,2,13754371,1,12
10989490,1,11209280,4,12
19674271,3,21248213,2,12
13790890,1,15583706,4,12
21221402,2,22919114,5,12
9795,4,10089,3,8
14207193,3,16338272,4,12
11656880,3,12472862,3,12
550,4,589,1,6
430,3,464,1,6
680,5,694,1,6
630,4,712,5,6
390,3,398,2,6
270,3,286,3,4
930,5,986,5,8
590,4,596,3,6
430,1,495,1,6
200,2,220,5,4
700,2,721,1,6
550,4,583,3,6
680,4,721,4,6
240,4,242,2,4
280,1,322,1,4
980,4,1019,4,8
310,3,335,3,4
470,1,479,1,6
600,3,630,4,6
100,4,102,3,2
570,4,638,2,6
100,4,101,3,2
440,4,506,3,6
380,2,418,4,6
1180,2,1298,1,8
870,5,922,1,6
100,4,109,1,2
640,4,646,4,6
900,4,981,1,6
100,4,110,3,2
270,4,300,2,4
410,4,467,5,6
720,2,727,2,6
100,5,111,3,2
1030,4,1051,5,8
12230771,2,12720002,3,12
10512010,2,12088812,5,12
15281730,4,15434547,4,12
13102880,5,14151110,4,12
20674880,4,23776112,2,12
19790440,3,21175771,2,12
22891830,5,24494258,1,12
11977310,4,13773907,2,12
14887280,4,15036153,4,12
13741920,2,14703854,5,12
13720142,5,14954955,1,12
22953671,1,23183208,1,12
19651664,4,21027280,2,12
15878532,5,16513673,5,12
12245062,1,13714469,4,12
13825752,2,13964010,5,12
18354890,4,18905537,3,12
16702803,5,18039027,1,12
11316236,3,12900509,1,12
15500801,5,17825921,5,12
11780422,5,12133835,3,12
16896123,5,19092619,4,12
26069770,5,26591165,1,12
17855255,2,18390913,1,12
11138732,2,12252605,2,12
11120682,3,12455164,5,12
19450511,5,21979077,4,12
21542883,5,23050885,2,12
13266630,2,13664629,1,12
12112783,5,12960678,1,12
9915457,4,10510384,1,12
24608081,3,24854162,4,12
15432069,4,15895031,5,12
17857,1,18571,1,8
14130432,2,15119562,3,12
17438025,4,19879349,5,12
11381,2,12974,4,8
20640,3,23530,4,8
594,5,618,2,6
664,2,764,1,6
1145,4,1179,3,8
1145,2,1191,2,8
513,1,575,1,6
543,1,624,2,6
826,4,900,1,6
987,4,1115,5,8
1135,3,1203,3,8
623,5,635,5,6
997,5,1017,2,8
563,1,614,4,6
1803,1,2055,5,8
514,5,535,5,6
442,5,495,4,6
1125,5,1271,2,8
533,1,565,5,6
1237,4,1373,4,8
968,5,1016,4,8
120,5,128,5,4
1368,4,1573,1,8
100,3,111,1,2
786,5,888,1,6
1077,1,1206,3,8
1683,1,1733,4,8
1430,4,1587,4,8
100,1,111,5,2
1468,1,1571,5,8
1550,5,1767,5,8
100,1,112,1,2
583,2,647,1,6
1227,4,1399,3,8
1007,4,1027,5,8
102,5,114,3,2
1266,1,1456,5,8
18283,3,18466,1,8
14470274,4,15483193,5,12
20962960,3,21591849,4,12
20649510,3,20856005,5,12
18008971,4,19089509,2,12
14054293,1,16021894,3,12
17063141,1,18598824,3,12
13323900,2,14389812,4,12
22029391,3,25113506,3,12
18338540,5,19805623,3,12
12005751,1,12846154,5,12
17714241,3,17891383,2,12
9989361,4,10488829,1,12
17863430,2,20542945,5,12
18697320,2,21314945,2,12
21396580,4,23750204,4,12
12217603,1,13928067,5,12
22314970,1,25439066,5,12
12320191,5,12566595,3,12
24935640,5,26431778,3,12
14619570,3,16081527,1,12
13126360,5,13913942,2,12
10646190,4,11391423,1,12
16511180,4,16676292,1,12
16438060,3,16602441,1,12
13639780,2,15412951,2,12
16954363,5,17971625,5,12
13054281,1,14620795,2,12
12574040,3,14334406,2,12
27093351,2,30615487,2,12
15630020,2,15786320,5,12
16780661,3,17787501,1,12
16453210,3,17769467,3,12
17543850,1,18947358,3,12
13865220,2,14419829,5,12
13639190,1,14457541,5,12
22040,4,22922,2,8
14377741,2,14665296,4,12
17396390,2,17918282,3,12
20366902,3,21792585,5,12
25622430,4,27672224,2,12
22155,4,24371,5,8
160876,3,178572,1,10
210,3,233,1,4
6039812,3,6160608,3,12
